GISJOIN,totalPopulation,freeAfAmPopulation,slavePopulation,totalAfAmPopulation,state,county,year,totalDensity,totalAsiaPopulation,totalIndianPopulation,totalWhitePopulation,totalWhitePoplulation,totalAsianPopulation
G3900010,9434,21,0,10406,Ohio,Adams,1810,12.98,,,,,
G3900090,2791,4,0,6338,Ohio,Athens,1810,2.4,,,,,
G3900130,11097,88,0,20329,Ohio,Belmont,1810,12.54,,,,,
G3900170,11150,79,0,21746,Ohio,Butler,1810,23.25,,,,,
G3900210,6303,65,0,8479,Ohio,Champaign,1810,1.87,,,,,
G3900250,9965,37,0,15820,Ohio,Clermont,1810,12.03,,,,,
G3900270,2674,9,0,8085,Ohio,Clinton,1810,7.39,,,,,
G3900290,10878,99,0,22033,Ohio,Columbiana,1810,12.78,,,,,
G3900350,1459,14,0,6328,Ohio,Cuyahoga,1810,0.92,,,,,
G3900410,2000,44,0,7639,Ohio,Delaware,1810,0.61,,,,,
G3900450,11361,35,0,16633,Ohio,Fairfield,1810,11.73,,,,,
G3900470,1854,4,0,6316,Ohio,Fayette,1810,4.55,,,,,
G3900490,3486,43,0,10292,Ohio,Franklin,1810,6.26,,,,,
G3900530,4181,15,0,7098,Ohio,Gallia,1810,3.57,,,,,
G3900550,2917,3,0,7791,Ohio,Geauga,1810,2.51,,,,,
G3900570,5870,36,0,10529,Ohio,Greene,1810,11.78,,,,,
G3900590,3051,7,0,9292,Ohio,Guernsey,1810,3.47,,,,,
G3900610,15258,158,0,31764,Ohio,Hamilton,1810,36.96,,,,,
G3900710,5766,126,0,12308,Ohio,Highland,1810,9.83,,,,,
G3900810,17260,124,0,18531,Ohio,Jefferson,1810,25.35,,,,,
G3900830,2149,12,0,8326,Ohio,Knox,1810,1.43,,,,,
G3900890,3852,8,0,11861,Ohio,Licking,1810,5.56,,,,,
G3900970,1603,13,0,4799,Ohio,Madison,1810,3.15,,,,,
G3901090,3941,21,0,8851,Ohio,Miami,1810,3.06,,,,,
G3901130,7722,54,0,15999,Ohio,Montgomery,1810,1.79,,,,,
G3901190,10036,75,0,17824,Ohio,Muskingum,1810,6.13,,,,,
G3901290,7124,69,0,13149,Ohio,Pickaway,1810,14.06,,,,,
G3901330,2995,7,0,10095,Ohio,Portage,1810,1.96,,,,,
G3901350,3304,25,0,10237,Ohio,Preble,1810,7.75,,,,,
G3901410,15514,370,0,20619,Ohio,Ross,1810,11.13,,,,,
G3901450,3399,29,0,5750,Ohio,Scioto,1810,3.3,,,,,
G3901510,2734,7,0,12406,Ohio,Stark,1810,1.75,,,,,
G3901550,8671,55,0,15546,Ohio,Trumbull,1810,8.29,,,,,
G3901570,3045,6,0,8328,Ohio,Tuscarawas,1810,3.49,,,,,
G3901650,9925,89,0,17837,Ohio,Warren,1810,24.45,,,,,
G3901670,5991,48,0,10425,Ohio,Washington,1810,5.1,,,,,
G1700030,626,0,0,0,Illinois,Alexander,1820,1.49,,,,,
G1700050,2931,22,27,49,Illinois,Bond,1820,0.62,,,,,
G1700230,931,0,1,1,Illinois,Clark,1820,0.06,,,,,
